student_id,avg_percentage,best_score,worst_score,first_score,latest_score,tests_attempted,performance_band,improvement,name,ability_level,attendance_category,risk_level,intervention_required
RN0197,12.58,42.22,0.0,0.0,5.26,47,At Risk,5.26,Suman Sinha,At Risk,Poor,High Risk,Yes
RN0742,14.19,39.02,0.0,5.66,15.79,49,At Risk,10.13,Monika Mehta,At Risk,Poor,High Risk,Yes
RN1543,14.85,37.25,0.0,16.98,13.16,49,At Risk,-3.82,Kriti Chawla,At Risk,Poor,High Risk,Yes
RN0407,15.01,30.95,0.0,15.09,7.89,47,At Risk,-7.2,Inder Gowda,At Risk,Average,High Risk,Yes
RN1233,15.39,36.36,0.0,15.09,18.42,48,At Risk,3.33,Varun Nair,At Risk,Average,High Risk,Yes
RN0447,15.67,49.15,0.0,28.3,0.0,46,At Risk,-28.3,Poonam Grover,At Risk,Poor,High Risk,Yes
RN1612,16.19,52.38,0.0,24.53,39.47,48,At Risk,14.95,Chitra Chatterjee,At Risk,Poor,High Risk,Yes
RN0697,17.47,45.24,0.0,39.62,15.79,46,At Risk,-23.83,Aditi Bhat,At Risk,Poor,High Risk,Yes
RN0988,17.58,49.02,0.0,15.09,7.89,47,At Risk,-7.2,Pari Naik,At Risk,Average,High Risk,Yes
RN1139,17.77,34.09,0.0,22.64,23.68,48,At Risk,1.04,Ananya Singh,At Risk,Average,High Risk,Yes
RN1545,17.79,39.22,0.0,15.09,21.05,50,At Risk,5.96,Nandini Hegde,At Risk,Average,High Risk,Yes
RN0860,17.8,37.5,0.0,18.87,10.53,49,At Risk,-8.34,Yamini Nayak,At Risk,Average,High Risk,Yes
RN0762,17.83,41.86,0.0,13.21,26.32,49,At Risk,13.11,Tejas Singh,At Risk,Average,High Risk,Yes
RN0519,18.22,53.19,2.63,11.32,15.79,46,At Risk,4.47,Riya Gupta,At Risk,Average,High Risk,Yes
RN1076,18.85,42.86,0.0,15.09,28.3,47,At Risk,13.21,Yashaswini Anand,At Risk,Average,High Risk,Yes
RN1453,19.54,41.86,2.08,3.77,15.79,46,At Risk,12.02,Yash Joshi,At Risk,Average,High Risk,Yes
RN0527,19.58,48.89,0.0,3.77,13.16,47,At Risk,9.38,Kapil Jain,At Risk,Average,High Risk,Yes
RN1172,19.73,40.43,5.13,20.75,7.89,50,At Risk,-12.86,Uma Sinha,At Risk,Average,High Risk,Yes
RN0833,19.86,55.81,0.0,41.51,36.84,48,At Risk,-4.67,Deepika Kulkarni,At Risk,Average,High Risk,Yes
RN0633,20.5,47.37,1.85,30.19,23.68,48,At Risk,-6.5,Ojaswini Patel,At Risk,Average,High Risk,Yes
RN0057,20.74,64.15,1.59,20.75,34.21,47,At Risk,13.46,Lakshmi Joshi,At Risk,Average,High Risk,Yes
RN0134,20.83,51.11,0.0,24.53,13.16,50,At Risk,-11.37,Lakshmi Anand,At Risk,Average,High Risk,Yes
RN0654,21.03,51.28,3.92,24.53,15.79,48,At Risk,-8.74,Monika Pillai,At Risk,Good,High Risk,Yes
RN0404,22.1,51.16,0.0,18.87,26.32,48,At Risk,7.45,Ipshita Tiwari,At Risk,Average,High Risk,Yes
RN0093,22.22,51.28,2.22,16.98,21.05,50,At Risk,4.07,Ritu Acharya,At Risk,Good,High Risk,Yes
RN1935,22.26,48.08,5.0,41.51,7.89,47,At Risk,-33.61,Meera Ray,At Risk,Average,High Risk,Yes
RN0627,22.36,47.37,4.44,28.3,10.53,50,At Risk,-17.78,Abha Prabhu,At Risk,Good,High Risk,Yes
RN0455,22.75,46.67,2.38,41.51,26.32,49,At Risk,-15.19,Tushar Sen,At Risk,Good,High Risk,Yes
RN0941,22.8,40.43,0.0,20.75,21.05,50,At Risk,0.3,Dev Mukherjee,At Risk,Good,High Risk,Yes
RN0370,22.83,61.9,0.0,24.53,18.42,48,At Risk,-6.11,Kiran Hegde,At Risk,Good,High Risk,Yes
RN1832,22.83,51.16,8.16,31.91,18.42,47,At Risk,-13.49,Sachin Sinha,At Risk,Good,High Risk,Yes
RN1259,23.13,52.17,1.82,32.08,31.58,48,At Risk,-0.5,Aanya Tiwari,At Risk,Average,High Risk,Yes
RN1980,23.23,47.37,0.0,9.43,18.42,46,At Risk,8.99,Chetan Pillai,At Risk,Good,High Risk,Yes
RN1599,23.4,45.24,0.0,32.08,13.21,47,At Risk,-18.87,Deepa Mehra,At Risk,Good,High Risk,Yes
RN1546,23.42,60.47,3.92,41.51,18.42,48,At Risk,-23.09,Malini Bhat,At Risk,Good,High Risk,Yes
RN0024,23.76,68.63,0.0,41.51,26.32,46,At Risk,-15.19,Ishita Gowda,Weak,Poor,High Risk,Yes
RN1257,23.83,48.84,0.0,18.87,13.16,49,At Risk,-5.71,Vaishnavi Shenoy,At Risk,Good,High Risk,Yes
RN1767,23.9,48.72,5.13,9.43,39.47,47,At Risk,30.04,Khushi Rao,At Risk,Good,High Risk,Yes
RN0412,24.18,56.52,1.64,43.4,1.64,48,At Risk,-41.76,Lakshmi Reddy,At Risk,Good,High Risk,Yes
RN0025,24.25,61.36,2.04,39.62,52.63,47,At Risk,13.01,Swati Roy,At Risk,Good,High Risk,Yes
RN1836,24.38,53.49,5.77,26.42,13.16,48,At Risk,-13.26,Ishita Das,At Risk,Good,High Risk,Yes
RN0343,24.64,59.09,1.92,16.98,26.32,49,At Risk,9.33,Chitra Murthy,At Risk,Good,High Risk,Yes
RN0442,24.67,55.77,0.0,7.55,36.84,50,At Risk,29.29,Dev Prasad,At Risk,Good,High Risk,Yes
RN0203,24.7,56.86,5.36,12.77,18.42,47,At Risk,5.66,Aditya Joshi,Weak,Average,High Risk,Yes
RN0422,24.77,59.26,1.85,18.87,10.53,48,At Risk,-8.34,Radhika Rao,At Risk,Good,High Risk,Yes
RN1338,24.8,48.72,3.92,24.53,28.95,47,At Risk,4.42,Mansi Singh,Weak,Poor,High Risk,Yes
RN1445,25.02,51.06,6.82,28.3,10.53,47,At Risk,-17.78,Mehak Alva,At Risk,Excellent,High Risk,Yes
RN1967,25.05,49.12,8.51,32.08,31.58,48,At Risk,-0.5,UrVashi Anand,At Risk,Good,High Risk,Yes
RN0353,25.07,50.94,3.39,50.94,24.53,48,At Risk,-26.42,Abha Pradhan,Weak,Poor,High Risk,Yes
RN0344,25.11,60.47,5.13,20.75,21.05,45,At Risk,0.3,Vineet Joshi,At Risk,Good,High Risk,Yes
RN1337,25.13,44.19,6.67,13.21,31.58,46,At Risk,18.37,Tarun Acharya,Weak,Poor,High Risk,Yes
RN1474,25.16,52.54,1.92,39.62,47.37,49,At Risk,7.75,Deepika Menon,Weak,Poor,High Risk,Yes
RN1154,25.22,50.0,7.27,35.85,31.58,49,At Risk,-4.27,Bharat Tiwari,At Risk,Good,High Risk,Yes
RN1957,25.23,60.47,5.0,18.87,15.79,50,At Risk,-3.08,Chandan Hegde,Weak,Poor,High Risk,Yes
RN1973,25.25,53.85,4.44,20.75,13.16,49,At Risk,-7.6,Alka Iyer,Weak,Poor,High Risk,Yes
RN1280,25.28,58.97,3.77,24.53,28.95,49,At Risk,4.42,Tushar Tiwari,At Risk,Excellent,High Risk,Yes
RN0606,25.43,52.73,4.26,22.64,36.84,48,At Risk,14.2,Anjali Acharya,At Risk,Excellent,High Risk,Yes
RN1318,25.57,54.55,4.26,13.21,28.95,48,At Risk,15.74,Shreya Chatterjee,Weak,Poor,High Risk,Yes
RN1840,25.59,58.93,3.39,32.08,15.79,47,At Risk,-16.29,Gagan Gill,At Risk,Good,High Risk,Yes
RN0868,25.6,65.79,5.56,22.64,31.58,50,At Risk,8.94,Amit Das,Weak,Poor,High Risk,Yes
RN0321,25.65,65.12,9.3,39.62,21.05,45,At Risk,-18.57,Amita Hegde,At Risk,Excellent,High Risk,Yes
RN0924,25.8,48.89,4.65,30.19,18.42,45,At Risk,-11.77,Mehak Mishra,At Risk,Excellent,High Risk,Yes
RN0167,25.95,57.14,6.12,37.74,21.05,49,At Risk,-16.68,Swati Kapoor,At Risk,Good,High Risk,Yes
RN0308,25.96,60.0,5.13,9.43,44.74,50,At Risk,35.3,Utkarsh Grover,At Risk,Excellent,High Risk,Yes
RN0130,25.98,51.11,2.13,16.98,15.79,47,At Risk,-1.19,Ipshita Singh,At Risk,Good,High Risk,Yes
RN0241,25.99,56.86,3.51,24.53,23.68,47,At Risk,-0.84,Deepak Ray,Weak,Average,High Risk,Yes
RN0810,26.11,63.64,5.13,39.62,18.42,48,At Risk,-21.2,Aniruddh Grover,At Risk,Excellent,High Risk,Yes
RN1834,26.12,49.06,0.0,49.06,13.16,46,At Risk,-35.9,Tarun Hegde,At Risk,Good,High Risk,Yes
RN0051,26.15,43.59,9.09,37.74,21.05,49,At Risk,-16.68,Chetan Kulkarni,At Risk,Excellent,High Risk,Yes
RN0171,26.3,54.55,2.27,28.3,18.42,49,At Risk,-9.88,Varun Prabhu,Weak,Poor,High Risk,Yes
RN0362,26.34,56.41,0.0,0.0,52.63,48,At Risk,52.63,Priya Iyer,Weak,Poor,High Risk,Yes
RN1041,26.48,67.44,2.13,7.55,44.74,50,At Risk,37.19,Inder Tiwari,Weak,Poor,High Risk,Yes
RN1489,26.49,64.44,5.45,24.53,18.42,45,At Risk,-6.11,Juhi Kamath,At Risk,Good,High Risk,Yes
RN0991,26.6,60.42,2.13,49.06,31.58,49,At Risk,-17.48,Payal Gill,Weak,Poor,High Risk,Yes
RN0852,26.64,55.56,0.0,24.53,13.16,45,At Risk,-11.37,Utkarsh Kumar,At Risk,Good,High Risk,Yes
RN0551,26.67,61.54,0.0,36.17,31.58,49,At Risk,-4.59,Mansi Sen,Weak,Poor,High Risk,Yes
RN0433,26.78,54.55,7.89,15.09,7.89,48,At Risk,-7.2,Deepa Murthy,Weak,Poor,High Risk,Yes
RN1857,26.93,57.14,2.13,16.98,39.47,47,At Risk,22.49,Nisha Gill,Weak,Poor,High Risk,Yes
RN0286,26.94,55.26,5.77,24.53,55.26,50,At Risk,30.73,Isha Pai,Weak,Average,High Risk,Yes
RN0804,27.0,54.76,1.96,20.75,26.32,47,At Risk,5.56,Aditya Mukherjee,Weak,Average,High Risk,Yes
RN0996,27.06,50.0,9.26,30.19,28.95,47,At Risk,-1.24,Brijesh Bose,Weak,Poor,High Risk,Yes
RN1916,27.11,45.65,8.77,41.51,39.47,48,At Risk,-2.04,Bharat Kulkarni,At Risk,Excellent,High Risk,Yes
RN0732,27.14,65.85,4.76,37.74,7.89,47,At Risk,-29.84,Deepika Prabhu,At Risk,Excellent,High Risk,Yes
RN0927,27.16,68.25,5.56,28.3,23.68,50,At Risk,-4.62,Uma Acharya,At Risk,Good,High Risk,Yes
RN0177,27.26,54.76,8.2,45.28,10.53,48,At Risk,-34.76,Kajal Mehta,Weak,Poor,High Risk,Yes
RN0849,27.29,62.71,11.54,26.42,39.47,48,At Risk,13.06,Vikram Dutta,Weak,Poor,High Risk,Yes
RN0128,27.34,58.18,2.56,15.09,42.11,47,At Risk,27.01,Kunwar Iyer,Weak,Poor,High Risk,Yes
RN1454,27.35,55.56,2.13,30.19,26.32,47,At Risk,-3.87,Chetan Rao,Weak,Average,High Risk,Yes
RN0891,27.36,58.14,6.38,6.38,34.21,49,At Risk,27.83,Neha Bhat,Weak,Poor,High Risk,Yes
RN0213,27.38,62.22,5.45,13.21,23.68,48,At Risk,10.48,Tanya Banerjee,Weak,Poor,High Risk,Yes
RN0484,27.38,54.72,5.0,43.4,15.79,45,At Risk,-27.61,Satish Sodhi,Weak,Poor,High Risk,Yes
RN1628,27.43,48.72,3.7,30.19,26.32,46,At Risk,-3.87,Manoj Naik,At Risk,Good,High Risk,Yes
RN1032,27.44,63.16,7.69,43.4,63.16,47,At Risk,19.76,Poonam Menon,Weak,Average,High Risk,Yes
RN0940,27.45,57.14,8.47,13.21,18.42,49,At Risk,5.21,Suman Rao,Weak,Average,High Risk,Yes
RN0287,27.47,59.09,3.92,24.53,50.0,46,At Risk,25.47,Karan Menon,At Risk,Good,High Risk,Yes
RN0553,27.5,65.91,4.35,33.96,18.42,50,At Risk,-15.54,Aditya Bose,At Risk,Excellent,High Risk,Yes
RN0739,27.54,72.55,6.52,28.3,34.21,46,At Risk,5.91,Manoj Gowda,At Risk,Good,High Risk,Yes
RN1872,27.56,50.98,7.55,28.3,39.47,48,At Risk,11.17,Vikram Naik,At Risk,Excellent,High Risk,Yes
RN1576,27.57,50.94,2.13,50.94,34.21,49,At Risk,-16.73,Umesh Ray,At Risk,Good,High Risk,Yes
RN1200,27.6,68.09,5.26,45.28,34.21,46,At Risk,-11.07,Neha Murthy,Weak,Poor,High Risk,Yes
RN1749,27.77,51.11,7.27,11.32,22.64,48,At Risk,11.32,Alok Naik,At Risk,Excellent,High Risk,Yes
RN1456,28.04,53.57,5.26,41.51,36.84,49,At Risk,-4.67,Kriti Pandey,At Risk,Excellent,High Risk,Yes
